model,model_short,run_dir,pooling,selected_condition,layer,mean_absent,mean_condition,mean_delta,ci95_low_delta,ci95_high_delta,paired_p,cohen_d,region,layer_rank_fraction
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,3,0.1364019213302118,0.5445839529175598,0.408182031587348,0.3156878806522171,0.5035282460778396,1.25756491293301e-14,0.7426881125662632,early,0.09375
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,4,0.1128946616172372,0.5249668690129261,0.4120722073956888,0.318798253841451,0.4981608082697946,4.194981779694093e-15,0.7593361690792636,early,0.125
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,5,0.087966120568299,0.5116633907229586,0.4236972701546596,0.3409015300854293,0.5048630253709412,1.0342272791143361e-17,0.8490846174168208,early,0.15625
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,6,0.115052706476915,0.4581712658545743,0.3431185593776593,0.2589206341170739,0.4233948355702048,1.1091522363455104e-13,0.709375581983347,early,0.1875
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,7,0.1022123505490167,0.4613491945409163,0.3591368439918995,0.2812969812596428,0.4357812768024048,3.709726808066573e-15,0.7611946389566242,early,0.21875
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,8,0.0802952289692409,0.4638243311640816,0.3835291021948407,0.3150886050769903,0.4552127204482158,6.143221254003051e-20,0.9245999795850884,early,0.25
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,9,0.0762872974999229,0.473756440243402,0.397469142743479,0.331450550377219,0.4618010414926904,2.070972972150704e-22,1.008049683199349,early,0.28125
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,10,0.0701855637908614,0.4242136342349008,0.3540280704440394,0.2902405699491039,0.4162537203546521,5.712753506228281e-20,0.9256663473289904,early,0.3125
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,11,0.0731487862372093,0.4277148761982998,0.3545660899610904,0.2900820323465776,0.4212770030548977,4.728193722177511e-19,0.8946095194278274,middle,0.34375
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,12,0.0786493908867694,0.4237335521216249,0.3450841612348556,0.27969769786168,0.4123961312881287,1.3188663992804457e-17,0.8454845743055645,middle,0.375
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,13,0.0848672637658946,0.412451105298588,0.3275838415326935,0.2602613609887669,0.3984077935187281,5.095702493313258e-16,0.7910651483539521,middle,0.40625
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,14,0.1096636101298683,0.4767219431173404,0.367058332987472,0.2997906842346122,0.435339094912815,8.517840638703529e-19,0.8859441000238077,middle,0.4375
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,15,0.1090593334146669,0.4376987964674076,0.3286394630527406,0.2579328493749547,0.3985151180987463,3.724868813554032e-16,0.7957581016936774,middle,0.46875
mistralai/Mistral-7B-Instruct-v0.2,Mistral 7B Inst.,results_cross_model/mistral_indirect_only/mistralai_Mistral-7B-Instruct-v0.2__pool-mean_nonpad__seed-42,mean_nonpad,suppressed_indirect,16,0.1009397775538493,0.3898289471715326,0.2888891696176833,0.2223473273788917,0.3583614737039161,3.90151087207263e-14,0.7254169805422699,middle,0.5
